start_s,end_s,duration_s,label
19.060000,19.090000,0.030000,t
19.090000,19.130000,0.040000,m
19.130000,19.210000,0.080000,ɛ
19.210000,19.250000,0.040000,n
19.250000,19.300000,0.050000,t
19.300000,19.420000,0.120000,a
19.420000,19.490000,0.070000,s
19.490000,19.540000,0.050000,a
19.540000,19.670000,0.130000,s
19.670000,19.760000,0.090000,o
19.760000,19.890000,0.130000,s
19.890000,20.030000,0.140000,i
20.030000,20.070000,0.040000,a
20.070000,20.130000,0.060000,t
20.130000,20.200000,0.070000,s
20.200000,20.230000,0.030000,j
20.230000,20.260000,0.030000,uː
20.260000,20.350000,0.090000,p
20.350000,20.390000,0.040000,ɹ
20.390000,20.450000,0.060000,iː
20.450000,20.540000,0.090000,m
20.540000,20.660000,0.120000,k
20.660000,20.760000,0.100000,ɒː
20.760000,20.800000,0.040000,ʈ
20.800000,20.910000,0.110000,dʒ
20.910000,21.010000,0.100000,ɐ
21.010000,21.090000,0.080000,s
21.090000,21.150000,0.060000,tʲ
21.150000,21.210000,0.060000,ɪ
21.210000,21.310000,0.100000,s
21.310000,21.410000,0.100000,i
21.410000,21.490000,0.080000,n
21.490000,21.520000,0.030000,n
21.520000,21.630000,0.110000,aj
21.630000,21.660000,0.030000,n
21.660000,21.770000,0.110000,ʈ
21.770000,21.820000,0.050000,iː
21.820000,21.890000,0.070000,n
21.890000,22.000000,0.110000,s
22.000000,22.060000,0.060000,ɛ
22.060000,22.120000,0.060000,v
22.120000,22.160000,0.040000,ə
22.160000,22.200000,0.040000,n
22.200000,22.230000,0.030000,tʲ
22.230000,22.300000,0.070000,i
22.300000,22.400000,0.100000,ʋ
22.400000,22.570000,0.170000,ɒ
22.570000,22.650000,0.080000,n
23.170000,23.300000,0.130000,æ
23.300000,23.350000,0.050000,t
23.350000,23.390000,0.040000,j
23.390000,23.470000,0.080000,i
23.470000,23.510000,0.040000,a
23.510000,23.630000,0.120000,ʈ
23.630000,23.750000,0.120000,ɒ
23.750000,23.790000,0.040000,m
23.790000,23.840000,0.050000,ə
23.840000,23.930000,0.090000,s
23.930000,24.340000,0.410000,spn
24.340000,24.390000,0.050000,n
24.390000,24.520000,0.130000,aw
24.520000,24.620000,0.100000,p
24.620000,24.660000,0.040000,ɹ
24.660000,24.710000,0.050000,ɛ
24.710000,24.760000,0.050000,z
24.760000,24.790000,0.030000,d
24.790000,24.950000,0.160000,ə
24.950000,25.000000,0.050000,n
25.000000,25.060000,0.060000,t
25.060000,25.090000,0.030000,ɒ
25.090000,25.120000,0.030000,v
25.120000,25.190000,0.070000,ð
25.190000,25.220000,0.030000,a
25.220000,25.280000,0.060000,m
25.280000,25.380000,0.100000,a
25.380000,25.470000,0.090000,s
25.470000,25.500000,0.030000,ə
25.500000,25.610000,0.110000,tʃ
25.610000,25.640000,0.030000,ʉː
25.640000,25.740000,0.100000,s
25.740000,25.780000,0.040000,ɪ
25.780000,25.820000,0.040000,t
25.820000,25.860000,0.040000,s
25.860000,25.920000,0.060000,b
25.920000,26.090000,0.170000,a
26.090000,26.120000,0.030000,a
26.120000,26.240000,0.120000,s
26.240000,26.320000,0.080000,o
26.320000,26.450000,0.130000,s
26.450000,26.540000,0.090000,i
26.540000,26.630000,0.090000,e
26.630000,26.750000,0.120000,ʃ
26.750000,26.800000,0.050000,ɔ
26.800000,26.860000,0.060000,n
27.190000,27.240000,0.050000,ʋ
27.240000,27.270000,0.030000,ɒ
27.270000,27.350000,0.080000,z
27.350000,27.410000,0.060000,h
27.410000,27.460000,0.050000,ɛ
27.460000,27.490000,0.030000,n
27.490000,27.540000,0.050000,ə
27.540000,27.650000,0.110000,s
27.650000,27.680000,0.030000,i
27.680000,27.710000,0.030000,i
27.710000,27.810000,0.100000,z
27.810000,27.860000,0.050000,l
27.860000,28.010000,0.150000,ɒ
28.010000,28.150000,0.140000,k
28.150000,28.180000,0.030000,l
28.180000,28.260000,0.080000,a
28.260000,28.290000,0.030000,k
