start_s,end_s,duration_s,label
16.450000,16.480000,0.030000,ʈʲ
16.480000,16.550000,0.070000,i
16.550000,16.650000,0.100000,f
16.650000,16.890000,0.240000,aj
16.890000,16.930000,0.040000,v
16.930000,17.030000,0.100000,ɲ
17.030000,17.100000,0.070000,uː
17.100000,17.730000,0.630000,spn
18.030000,18.130000,0.100000,a
18.130000,18.200000,0.070000,n
18.200000,18.300000,0.100000,t̪
18.300000,18.350000,0.050000,ɹ
18.350000,18.430000,0.080000,iː
18.430000,18.520000,0.090000,h
18.520000,18.570000,0.050000,ɐ
18.570000,18.600000,0.030000,n
18.600000,18.660000,0.060000,d
18.660000,18.710000,0.050000,ɹ
18.710000,18.750000,0.040000,ə
18.750000,18.790000,0.040000,d
18.790000,18.840000,0.050000,mʲ
18.840000,18.870000,0.030000,i
18.870000,18.910000,0.040000,l
18.910000,19.070000,0.160000,u
19.070000,19.130000,0.060000,n
19.130000,19.170000,0.040000,d
19.170000,19.320000,0.150000,ɑ
19.320000,19.370000,0.050000,l
19.370000,19.500000,0.130000,ɚ
19.500000,19.610000,0.110000,z
19.650000,19.710000,0.060000,ə
19.710000,19.800000,0.090000,ɹ
19.800000,19.870000,0.070000,ɪ
19.870000,20.000000,0.130000,s
20.000000,20.060000,0.060000,t
20.060000,20.160000,0.100000,ɒ
20.160000,20.280000,0.120000,ɹ
20.280000,20.430000,0.150000,k
20.430000,20.470000,0.040000,ɹ
20.470000,20.520000,0.050000,ɐ
20.520000,20.580000,0.060000,m
20.580000,20.640000,0.060000,b
20.640000,20.670000,0.030000,ʎ
20.670000,20.730000,0.060000,ɪ
20.730000,20.800000,0.070000,ŋ
20.800000,20.930000,0.130000,k
20.930000,21.030000,0.100000,ɒː
21.030000,21.080000,0.050000,ʈ
21.080000,21.130000,0.050000,h
21.130000,21.270000,0.140000,aw
21.270000,21.360000,0.090000,s
21.360000,21.470000,0.110000,ɪ
21.470000,21.630000,0.160000,z
22.180000,22.220000,0.040000,d
22.220000,22.250000,0.030000,ɛ
22.250000,22.340000,0.090000,s
22.340000,22.400000,0.060000,p
22.400000,22.530000,0.130000,aj
22.530000,22.590000,0.060000,t
22.590000,22.630000,0.040000,ð
22.630000,22.660000,0.030000,a
22.660000,22.750000,0.090000,s
22.750000,22.800000,0.050000,t
22.800000,22.920000,0.120000,e
22.920000,22.970000,0.050000,t
22.970000,23.000000,0.030000,i
23.000000,23.030000,0.030000,z
23.030000,23.100000,0.070000,m
23.100000,23.240000,0.140000,a
23.240000,23.350000,0.110000,s
23.350000,23.400000,0.050000,i
23.400000,23.450000,0.050000,v
23.450000,23.570000,0.120000,b
23.570000,23.660000,0.090000,ɐ
23.660000,23.730000,0.070000,dʒ
23.730000,23.800000,0.070000,ɪ
23.800000,23.870000,0.070000,t
23.870000,23.920000,0.050000,d
23.920000,24.000000,0.080000,ɛ
24.000000,24.070000,0.070000,f
24.070000,24.130000,0.060000,ə
24.130000,24.240000,0.110000,s
24.240000,24.330000,0.090000,ɪ
24.330000,24.430000,0.100000,t
24.800000,24.870000,0.070000,h
24.870000,24.900000,0.030000,ɛ
24.900000,24.930000,0.030000,n
24.930000,24.990000,0.060000,ə
24.990000,25.090000,0.100000,s
25.090000,25.170000,0.080000,i
25.170000,25.250000,0.080000,ɹ
25.250000,25.300000,0.050000,iː
25.300000,25.370000,0.070000,s
25.370000,25.430000,0.060000,ə
25.430000,25.460000,0.030000,n
25.460000,25.500000,0.040000,t
25.500000,25.550000,0.050000,ʎ
25.550000,25.610000,0.060000,i
25.610000,25.770000,0.160000,aː
25.770000,25.880000,0.110000,dʒ
25.880000,25.920000,0.040000,d
25.920000,25.960000,0.040000,k
25.960000,26.090000,0.130000,ɒ
26.090000,26.170000,0.080000,ʎ
26.170000,26.220000,0.050000,iː
26.220000,26.280000,0.060000,ɡ
26.280000,26.340000,0.060000,z
26.340000,26.390000,0.050000,i
26.390000,26.430000,0.040000,n
26.430000,26.460000,0.030000,ð
26.460000,26.490000,0.030000,a
26.490000,26.560000,0.070000,b
26.560000,26.740000,0.180000,a
26.740000,26.780000,0.040000,a
26.780000,26.890000,0.110000,s
26.890000,26.980000,0.090000,o
26.980000,27.110000,0.130000,s
27.110000,27.200000,0.090000,i
27.200000,27.300000,0.100000,e
27.300000,27.420000,0.120000,ʃ
27.420000,27.460000,0.040000,ɔ
27.460000,27.560000,0.100000,n
27.650000,27.800000,0.150000,n
27.800000,27.910000,0.110000,a
27.910000,28.040000,0.130000,t
28.040000,28.080000,0.040000,ə
28.080000,28.140000,0.060000,ɹ
28.140000,28.220000,0.080000,ə
28.220000,28.380000,0.160000,tʲ
28.380000,28.420000,0.040000,ɹ
28.420000,28.560000,0.140000,iː
28.560000,28.590000,0.030000,t
28.720000,28.790000,0.070000,f
28.790000,28.820000,0.030000,ɹ
28.820000,28.850000,0.030000,ɐ
28.850000,28.900000,0.050000,m
28.900000,28.950000,0.050000,d̪
28.950000,29.060000,0.110000,iː
29.060000,29.150000,0.090000,z
29.150000,29.280000,0.130000,h
29.280000,29.420000,0.140000,a
29.420000,29.470000,0.050000,d
29.470000,29.540000,0.070000,ʋ
29.540000,29.630000,0.090000,ɒ
29.630000,29.740000,0.110000,n
29.740000,29.830000,0.090000,ɡ
29.830000,30.000000,0.170000,e
30.000000,30.170000,0.170000,n
30.170000,30.340000,0.170000,z
