file,tier,label,start_s,end_s,duration_s
F2BJRLP3,words,association,26.74,27.56,0.8200000000000003
F2BJRLP3,words,not,27.65,28.04,0.39000000000000057
F2BJRLP3,words,to,28.04,28.08,0.03999999999999915
F2BJRLP3,words,retreat,28.08,28.59,0.5100000000000016
F2BJRLP3,words,from,28.72,28.9,0.17999999999999972
F2BJRLP3,words,these,28.9,29.15,0.25
F2BJRLP3,words,hard,29.15,29.47,0.3200000000000003
F2BJRLP3,words,won,29.47,29.74,0.2699999999999996
F2BJRLP3,words,gains,29.74,30.34,0.6000000000000014
ISLE_SESS0131_BLOCKD02_01_sprt1,words,i,0.43,0.55,0.12000000000000005
ISLE_SESS0131_BLOCKD02_01_sprt1,words,said,0.55,0.92,0.37
ISLE_SESS0131_BLOCKD02_01_sprt1,words,white,0.92,1.49,0.57
ISLE_SESS0131_BLOCKD02_01_sprt1,words,not,1.49,1.7,0.20999999999999996
ISLE_SESS0131_BLOCKD02_01_sprt1,words,bait,1.7,2.11,0.4099999999999999
ISLE_SESS0131_BLOCKD02_03_sprt1,words,i,0.2,0.3,0.09999999999999998
ISLE_SESS0131_BLOCKD02_03_sprt1,words,said,0.3,0.66,0.36000000000000004
ISLE_SESS0131_BLOCKD02_03_sprt1,words,bad,0.66,1.14,0.47999999999999987
ISLE_SESS0131_BLOCKD02_03_sprt1,words,not,1.14,1.47,0.33000000000000007
ISLE_SESS0131_BLOCKD02_03_sprt1,words,bed,1.47,2.04,0.5700000000000001
ISLE_SESS0131_BLOCKD02_02_sprt1,words,i,0.61,0.71,0.09999999999999998
ISLE_SESS0131_BLOCKD02_02_sprt1,words,said,0.71,1.01,0.30000000000000004
ISLE_SESS0131_BLOCKD02_02_sprt1,words,new,1.01,1.34,0.33000000000000007
ISLE_SESS0131_BLOCKD02_02_sprt1,words,not,1.34,1.75,0.4099999999999999
ISLE_SESS0131_BLOCKD02_02_sprt1,words,no,1.75,2.17,0.41999999999999993
F2BJRLP1,words,wanted,0.53,1.12,0.5900000000000001
F2BJRLP1,words,chief,1.28,1.58,0.30000000000000004
F2BJRLP1,words,justice,1.58,2.1,0.52
F2BJRLP1,words,of,2.1,2.22,0.1200000000000001
F2BJRLP1,words,the,2.22,2.31,0.08999999999999986
F2BJRLP1,words,massachusetts,2.31,3.04,0.73
F2BJRLP1,words,supreme,3.04,3.44,0.3999999999999999
F2BJRLP1,words,court,3.44,3.85,0.41000000000000014
F2BJRLP1,words,in,4.16,4.28,0.1200000000000001
F2BJRLP1,words,april,4.28,4.63,0.34999999999999964
F2BJRLP1,words,the,4.63,4.81,0.17999999999999972
F2BJRLP1,words,s,4.81,4.95,0.14000000000000057
F2BJRLP1,words,j,4.95,5.12,0.16999999999999993
F2BJRLP1,words,c's,5.12,5.44,0.3200000000000003
F2BJRLP1,words,current,5.44,5.79,0.34999999999999964
F2BJRLP1,words,leader,5.79,6.16,0.3700000000000001
F2BJRLP1,words,edward,6.19,6.48,0.29000000000000004
F2BJRLP1,words,hennessy,6.48,6.97,0.4899999999999993
F2BJRLP1,words,reaches,7.36,7.7,0.33999999999999986
F2BJRLP1,words,the,7.7,7.79,0.08999999999999986
F2BJRLP1,words,mandatory,7.79,8.41,0.6200000000000001
F2BJRLP1,words,retirement,8.41,9.04,0.629999999999999
F2BJRLP1,words,age,9.04,9.27,0.23000000000000043
F2BJRLP1,words,of,9.27,9.37,0.09999999999999964
F2BJRLP1,words,seventy,9.37,9.99,0.620000000000001
F2BJRLP1,words,and,10.07,10.2,0.129999999999999
F2BJRLP1,words,a,10.2,10.24,0.040000000000000924
F2BJRLP1,words,successor,10.24,10.78,0.5399999999999991
F2BJRLP1,words,is,10.78,10.99,0.21000000000000085
F2BJRLP1,words,expected,10.99,11.52,0.5299999999999994
F2BJRLP1,words,to,11.52,11.55,0.030000000000001137
F2BJRLP1,words,be,11.55,11.65,0.09999999999999964
F2BJRLP1,words,named,11.65,12.01,0.35999999999999943
F2BJRLP1,words,in,12.01,12.15,0.14000000000000057
F2BJRLP1,words,march,12.15,12.62,0.46999999999999886
F2BJRLP1,words,it,13.01,13.11,0.09999999999999964
F2BJRLP1,words,may,13.11,13.25,0.14000000000000057
F2BJRLP1,words,be,13.25,13.38,0.13000000000000078
F2BJRLP1,words,the,13.38,13.45,0.06999999999999851
F2BJRLP1,words,most,13.45,13.72,0.27000000000000135
F2BJRLP1,words,important,13.72,14.16,0.4399999999999995
F2BJRLP1,words,appointment,14.16,14.79,0.629999999999999
F2BJRLP1,words,governor,14.79,15.13,0.34000000000000163
F2BJRLP1,words,michael,15.13,15.45,0.3199999999999985
F2BJRLP1,words,dukakis,15.45,16.0,0.5500000000000007
F2BJRLP1,words,makes,16.0,16.41,0.41000000000000014
F2BJRLP1,words,during,16.71,16.95,0.23999999999999844
F2BJRLP1,words,the,16.95,17.02,0.07000000000000028
F2BJRLP1,words,remainder,17.02,17.51,0.490000000000002
F2BJRLP1,words,of,17.51,17.59,0.0799999999999983
F2BJRLP1,words,his,17.59,17.77,0.17999999999999972
F2BJRLP1,words,administration,17.77,18.67,0.9000000000000021
F2BJRLP1,words,and,18.77,18.96,0.19000000000000128
F2BJRLP1,words,one,18.96,19.18,0.21999999999999886
F2BJRLP1,words,of,19.18,19.27,0.08999999999999986
F2BJRLP1,words,the,19.27,19.35,0.08000000000000185
F2BJRLP1,words,toughest,19.35,19.68,0.3299999999999983
F2BJRLP1,words,as,19.68,19.92,0.240000000000002
F2BJRLP1,words,wbur's,20.37,21.43,1.0599999999999987
F2BJRLP1,words,margo,21.43,21.75,0.3200000000000003
F2BJRLP1,words,melnicove,21.75,22.28,0.5300000000000011
F2BJRLP1,words,reports,22.28,22.88,0.5999999999999979
F2BJRLP1,words,hennessy,22.93,23.36,0.4299999999999997
F2BJRLP1,words,will,23.36,23.5,0.14000000000000057
F2BJRLP1,words,be,23.5,23.69,0.19000000000000128
F2BJRLP1,words,a,23.69,23.78,0.08999999999999986
F2BJRLP1,words,hard,23.78,24.08,0.29999999999999716
F2BJRLP1,words,act,24.08,24.54,0.46000000000000085
F2BJRLP1,words,to,24.54,24.58,0.03999999999999915
F2BJRLP1,words,follow,24.58,25.01,0.43000000000000327
